50 100 300
-8.8084 -16.5321
-21.3782 -41.6385
1.7941 4.5652
0.3718 1.7694
-23.1252 -45.2852
-20.4643 -39.9133
-3.7740 -6.5242
-13.8381 -26.7216
6.3717 13.8675
-5.1660 -9.3743
23.8128 48.8148
-10.5195 -19.9820
-17.7872 -34.5111
15.8063 32.6706
-15.9637 -31.0517
-6.3801 -11.8303
2.3872 5.8068
-14.7021 -28.3907
9.0200 18.9620
4.2781 9.5943
-2.3408 -3.7363
9.9497 21.0687
-12.7952 -24.6993
18.7569 38.4587
11.4723 23.8784
-19.0967 -36.9213
-4.0939 -7.1851
-0.5518 -0.1611
-23.0396 -45.1629
3.6513 8.1545
18.7739 38.4877
4.7185 10.5790
3.9948 8.8053
22.2341 45.5201
-1.2951 -1.6083
10.0746 21.1188
7.3564 15.8985
-10.7702 -20.5485
-5.7104 -10.4313
-1.9152 -2.8491
-16.5976 -32.1693
13.4116 27.8467
-18.5330 -36.0645
18.5711 38.2418
-20.9709 -41.0618
19.1692 39.3780
15.9640 32.9810
-4.2352 -7.5313
-7.0614 -12.9350
-17.4540 -34.0752
